Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MagneticBuzzer_Kingstate_KCG0601,1,Buzzer,
"C1, C2, C5",CP_Radial_D5.0mm_P2.50mm,3,100nF,
"C3, C4",CP_Radial_D5.0mm_P2.50mm,2,22pF,
D1,LED_D5.0mm_Clear,1,LED_G,
D2,LED_D5.0mm,1,LED_R,
"D3, D4, D5",0805,3,LED,
J1,PinSocket_1x08_P2.54mm_Vertical,1,RFID_Conn,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Connections,
J3,PinHeader_1x02_P2.54mm_Vertical,1,IR_SENSOR n SERVO,
J5,PinHeader_1x05_P2.54mm_Vertical,1,GND,
J6,PinHeader_1x03_P2.54mm_Vertical,1,5V,
J7,PinHeader_1x02_P2.54mm_Vertical,1,PWR,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,10K,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1M,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1K,
"R5, R6, R7",0805,3,1k,
SW1,SW_SPST_B3U-1000P-B,1,SW_Push,
U1,DIP-28_W7.62mm_Socket_LongPads,1,ATmega328P-PU,
Y1,Crystal_HC49-4H_Vertical,1,16 Mhz,
